titulo_planilha;categoria_atual_no_banco
Atestado de inexistência para fins de diferimento do ICMS diferencial de alíquotas e de importação na aquisição de máquinas e equipamentos industriais – Termo de Acordo;empresa-industria-e-comercio
Autorização específica – aquisição de milho e soja para uso na ração animal, com diferimento do ICMS;agropecuaria-e-vida-rural
Autorização específica – armazenagem de álcool combustível ou açúcar em outra usina com diferimento do ICMS;empresa-industria-e-comercio
Autorização específica – crédito outorgado nas operações internas e interestaduais com açúcar pelos fabricantes de açúcar;empresa-industria-e-comercio
Autorização específica – crédito presumido incidente nas operações com energia elétrica e serviços de comunicação;empresa-industria-e-comercio
Autorização Específica mediante Termo de Acordo – concessão e renovação – distribuidora de medicamentos localizada neste Estado – tratamento tributário do Decreto nº 9.578/1999;empresa-industria-e-comercio
Autorização para impressão de documentos fiscais (AIDF);empresa-industria-e-comercio
Autorização para impressão de documentos fiscais (AIDF) – cancelamento do pedido;empresa-industria-e-comercio
Autorização para impressão de documentos fiscais (AIDF) – comprovação intempestiva;empresa-industria-e-comercio
Autorização para impressão de documentos fiscais (AIDF) – quando não concedida por meio eletrônico;empresa-industria-e-comercio
Cadastro da agropecuária (CAP) – alteração de dados cadastrais;agropecuaria-e-vida-rural
Cadastro da agropecuária (CAP) – baixa da inscrição estadual;agropecuaria-e-vida-rural
Cadastro da agropecuária (CAP) – inscrição de apicultor e de meliponicultor;agropecuaria-e-vida-rural
Cadastro da agropecuária (CAP) – inscrição de pescador profissional;agropecuaria-e-vida-rural
Cadastro da agropecuária (CAP) – inscrição de produtor rural;agropecuaria-e-vida-rural
Cadastro da agropecuária (CAP) – inscrição de produtor rural em terras indígenas;agropecuaria-e-vida-rural
Cadastro da agropecuária (CAP) – inscrição estadual provisória para produtor rural em processo de regularização fundiária, assentamento, posse ou propriedade litigiosa;agropecuaria-e-vida-rural
Cadastro da agropecuária (CAP) – reativação da inscrição estadual;agropecuaria-e-vida-rural
Cadastro da agropecuária (CAP) – reativação de inscrição estadual suspensa por vencimento de contrato;agropecuaria-e-vida-rural
Cadastro da agropecuária (CAP) – suspensão temporária da inscrição estadual a pedido do contribuinte e sua prorrogação;agropecuaria-e-vida-rural
Cadastro do comércio, indústria e serviços (CCIS) – alteração de dados cadastrais;empresa-industria-e-comercio
Cadastro do comércio, indústria e serviços (CCIS) – baixa da inscrição estadual;empresa-industria-e-comercio
Cadastro do comércio, indústria e serviços (CCIS) – inscrição de cerealista;empresa-industria-e-comercio
Cadastro do comércio, indústria e serviços (CCIS) – inscrição de contribuinte de outras unidades da federação como substituto tributário nas operações com combustíveis líquidos e gasosos e lubrificantes e respectivas manutenções cadastrais;empresa-industria-e-comercio
Cadastro do comércio, indústria e serviços (CCIS) – inscrição de contribuinte localizado em outra unidade da federação como substituto tributário do ICMS mediante Termo de Responsabilidade;empresa-industria-e-comercio
Cadastro do comércio, indústria e serviços (CCIS) – inscrição de contribuinte localizado em outra unidade da federação como substituto tributário por força de Convênio ou Protocolo;empresa-industria-e-comercio
Cadastro do comércio, indústria e serviços (CCIS) – inscrição de contribuinte localizado em outras unidades da federação como responsável pelo recolhimento do ICMS nas operações destinadas a consumidor final (ICMS DIFCON);empresa-industria-e-comercio
Cadastro do comércio, indústria e serviços (CCIS) – inscrição de empresas;empresa-industria-e-comercio
Cadastro do comércio, indústria e serviços (CCIS) – inscrição de frigoríficos;empresa-industria-e-comercio
Cadastro do comércio, indústria e serviços (CCIS) – inscrição estadual temporária para empresas do ramo de construção civil;empresa-industria-e-comercio
Cadastro do comércio, indústria e serviços (CCIS) – reativação da inscrição estadual;empresa-industria-e-comercio
Cadastro do comércio, indústria e serviços (CCIS) – suspensão da eficácia temporária a pedido do contribuinte e sua prorrogação;empresa-industria-e-comercio
Conhecimento de transporte eletrônico (CT-e), modelo 57 e Conhecimento de transporte eletrônico para outros serviços (CT-e OS), modelo 67 – cancelamento extemporâneo;empresa-industria-e-comercio
